cart_item_id,cart_id,product_id,quantity,added_at
1,1,1,2,2023-10-01 10:05:00
2,2,2,1,2023-10-02 11:05:00
3,3,3,3,2023-10-03 12:05:00
4,4,4,1,2023-10-04 09:35:00
5,5,5,5,2023-10-05 20:05:00
6,6,6,1,2023-10-06 08:05:00
7,7,7,2,2023-10-07 14:05:00
8,8,8,1,2023-10-08 16:05:00
9,9,9,1,2023-10-09 10:05:00
10,10,10,4,2023-10-10 11:05:00
11,11,11,1,2023-10-11 07:05:00
12,12,12,2,2023-10-12 13:05:00
13,13,13,1,2023-10-13 15:05:00
14,14,14,2,2023-10-14 18:05:00
15,15,15,3,2023-10-15 19:05:00
16,16,16,1,2023-10-16 21:05:00
17,17,17,1,2023-10-17 22:05:00
18,18,18,1,2023-10-18 23:05:00
19,19,19,2,2023-10-19 06:05:00
20,20,20,1,2023-10-20 08:35:00
21,21,21,2,2023-10-21 09:05:00
22,22,22,1,2023-10-22 10:35:00
23,23,23,1,2023-10-23 11:35:00
24,24,24,2,2023-10-24 12:35:00
25,25,25,1,2023-10-25 13:35:00
26,26,26,1,2023-10-26 14:35:00
27,27,27,3,2023-10-27 15:35:00
28,28,28,1,2023-10-28 16:35:00
29,29,29,2,2023-10-29 17:35:00
30,30,30,1,2023-10-30 18:35:00
