cart_id,user_id,session_id,created_at
1,1,sess_001,2023-10-01 10:00:00
2,2,sess_002,2023-10-02 11:00:00
3,3,sess_003,2023-10-03 12:00:00
4,4,sess_004,2023-10-04 09:30:00
5,5,sess_005,2023-10-05 20:00:00
6,6,sess_006,2023-10-06 08:00:00
7,7,sess_007,2023-10-07 14:00:00
8,8,sess_008,2023-10-08 16:00:00
9,9,sess_009,2023-10-09 10:00:00
10,10,sess_010,2023-10-10 11:00:00
11,11,sess_011,2023-10-11 07:00:00
12,12,sess_012,2023-10-12 13:00:00
13,13,sess_013,2023-10-13 15:00:00
14,14,sess_014,2023-10-14 18:00:00
15,15,sess_015,2023-10-15 19:00:00
16,16,sess_016,2023-10-16 21:00:00
17,17,sess_017,2023-10-17 22:00:00
18,18,sess_018,2023-10-18 23:00:00
19,19,sess_019,2023-10-19 06:00:00
20,20,sess_020,2023-10-20 08:30:00
21,21,sess_021,2023-10-21 09:00:00
22,22,sess_022,2023-10-22 10:30:00
23,23,sess_023,2023-10-23 11:30:00
24,24,sess_024,2023-10-24 12:30:00
25,25,sess_025,2023-10-25 13:30:00
26,26,sess_026,2023-10-26 14:30:00
27,27,sess_027,2023-10-27 15:30:00
28,28,sess_028,2023-10-28 16:30:00
29,29,sess_029,2023-10-29 17:30:00
30,30,sess_030,2023-10-30 18:30:00
