inventory_id,product_id,batch_number,expiry_date,quantity_in_stock
1,1,BATCH001,2025-12-31,98
2,2,BATCH002,2024-06-30,49
3,3,BATCH003,2026-01-01,196
4,4,BATCH004,2025-05-20,150
5,5,BATCH005,2024-11-15,80
6,6,BATCH006,2025-08-10,120
7,7,BATCH007,2024-09-01,60
8,8,BATCH008,2026-03-15,90
9,9,BATCH009,2025-02-28,109
10,10,BATCH010,2024-12-12,75
11,11,BATCH011,2025-01-30,40
12,12,BATCH012,2024-10-20,95
13,13,BATCH013,2026-06-15,130
14,14,BATCH014,2025-07-07,180
15,15,BATCH015,2024-08-30,300
16,16,BATCH016,2025-04-10,250
17,17,BATCH017,2024-05-05,45
18,18,BATCH018,2026-09-20,70
19,19,BATCH019,2024-11-30,35
20,20,BATCH020,2025-10-10,140
21,21,BATCH021,2024-12-25,160
22,22,BATCH022,2025-02-14,24
23,23,BATCH023,2026-01-20,54
24,24,BATCH024,2025-06-30,85
25,25,BATCH025,2024-07-15,100
26,26,BATCH026,2025-03-01,115
27,27,BATCH027,2024-09-10,65
28,28,BATCH028,2026-05-25,89
29,29,BATCH029,2025-11-05,103
30,30,BATCH030,2024-08-15,125
