order_item_id,order_id,product_id,quantity,price_at_purchase
1,1,1,2,9.99
2,2,2,1,24.50
3,3,3,3,12.00
4,4,4,1,15.99
5,5,5,5,8.50
6,6,6,1,18.99
7,7,7,2,14.00
8,8,8,1,11.50
9,9,9,1,22.00
10,10,10,4,6.99
11,11,11,1,9.50
12,12,12,2,10.99
13,13,13,1,12.00
14,14,14,2,13.50
15,15,15,3,4.50
16,16,16,1,5.99
17,17,17,1,16.00
18,18,18,1,7.99
19,19,19,2,28.99
20,20,20,1,5.99
21,21,21,2,6.50
22,22,22,1,29.99
23,23,23,1,19.00
24,24,24,2,11.99
25,25,25,1,8.99
26,26,26,1,7.50
27,27,27,3,13.00
28,28,28,1,9.00
29,29,29,2,10.50
30,30,30,1,12.99
31,36,22,1,29.99
32,36,3,4,12.0
33,37,2,1,24.5
34,37,23,1,19.0
35,38,9,1,22.0
36,39,29,2,10.5
37,40,28,1,9.0
38,41,1,2,9.99
