order_id,user_id,shipping_address_id,subtotal,tax_amount,shipping_cost,total_amount,order_status,payment_method,payment_status,created_at
1,1,1,19.98,2.00,5.00,26.98,Delivered,Cash on Delivery,Paid,2023-11-01 10:00:00
2,2,2,24.50,2.45,5.00,31.95,Shipped,Cash on Delivery,Paid,2023-11-02 11:00:00
3,3,3,36.00,3.60,5.00,44.60,Processing,Cash on Delivery,Pending,2023-11-03 12:00:00
4,4,4,15.99,1.60,5.00,22.59,Delivered,Cash on Delivery,Paid,2023-11-04 09:30:00
5,5,5,42.50,4.25,5.00,51.75,Shipped,Cash on Delivery,Paid,2023-11-05 20:00:00
6,6,6,18.99,1.90,5.00,25.89,Cancelled,Cash on Delivery,Pending,2023-11-06 08:00:00
7,7,7,28.00,2.80,5.00,35.80,Processing,Cash on Delivery,Pending,2023-11-07 14:00:00
8,8,8,11.50,1.15,5.00,17.65,Delivered,Cash on Delivery,Paid,2023-11-08 16:00:00
9,9,9,22.00,2.20,5.00,29.20,Shipped,Cash on Delivery,Paid,2023-11-09 10:00:00
10,10,10,27.96,2.80,5.00,35.76,Delivered,Cash on Delivery,Paid,2023-11-10 11:00:00
11,11,11,9.50,0.95,5.00,15.45,Processing,Cash on Delivery,Pending,2023-11-11 07:00:00
12,12,12,21.98,2.20,5.00,29.18,Shipped,Cash on Delivery,Paid,2023-11-12 13:00:00
13,13,13,12.00,1.20,5.00,18.20,Delivered,Cash on Delivery,Paid,2023-11-13 15:00:00
14,14,14,27.00,2.70,5.00,34.70,Processing,Cash on Delivery,Pending,2023-11-14 18:00:00
15,15,15,13.50,1.35,5.00,19.85,Delivered,Cash on Delivery,Paid,2023-11-15 19:00:00
16,16,16,5.99,0.60,5.00,11.59,Shipped,Cash on Delivery,Paid,2023-11-16 21:00:00
17,17,17,16.00,1.60,5.00,22.60,Processing,Cash on Delivery,Pending,2023-11-17 22:00:00
18,18,18,7.99,0.80,5.00,13.79,Delivered,Cash on Delivery,Paid,2023-11-18 23:00:00
19,19,19,57.98,5.80,5.00,68.78,Shipped,Cash on Delivery,Paid,2023-11-19 06:00:00
20,20,20,5.99,0.60,5.00,11.59,Delivered,Cash on Delivery,Paid,2023-11-20 08:30:00
21,21,21,13.00,1.30,5.00,19.30,Processing,Cash on Delivery,Pending,2023-11-21 09:00:00
22,22,22,29.99,3.00,5.00,37.99,Shipped,Cash on Delivery,Paid,2023-11-22 10:30:00
23,23,23,19.00,1.90,5.00,25.90,Delivered,Cash on Delivery,Paid,2023-11-23 11:30:00
24,24,24,23.98,2.40,5.00,31.38,Processing,Cash on Delivery,Pending,2023-11-24 12:30:00
25,25,25,8.99,0.90,5.00,14.89,Shipped,Cash on Delivery,Paid,2023-11-25 13:30:00
26,26,26,7.50,0.75,5.00,13.25,Delivered,Cash on Delivery,Paid,2023-11-26 14:30:00
27,27,27,39.00,3.90,5.00,47.90,Processing,Cash on Delivery,Pending,2023-11-27 15:30:00
28,28,28,9.00,0.90,5.00,14.90,Shipped,Cash on Delivery,Paid,2023-11-28 16:30:00
29,29,29,21.00,2.10,5.00,28.10,Delivered,Cash on Delivery,Paid,2023-11-29 17:30:00
30,30,30,12.99,1.30,5.00,19.29,Processing,Cash on Delivery,Pending,2023-11-30 18:30:00
31,4,4,15.99,,,25.990000000000002,Processing,,,
32,22,22,29.99,,,39.989999999999995,Processing,,,
33,22,22,77.99,,,87.99,Processing,,,
34,22,22,77.99,,,87.99,Processing,,,
35,22,22,77.99,,,87.99,Processing,,,
36,22,22,77.99,,,87.99,Processing,,,
37,22,22,43.5,,,53.5,Processing,,,
38,9,9,22.0,,,32.0,Processing,,,
39,29,29,21.0,,,31.0,Processing,,,
